frame,valid_eye_gaze,left_eye_intersection,right_eye_intersection,avg_eye_intersection
322.0,0,[],[],[]
322.0,0,[],[],[]
323.0,0,[],[],[]
323.0,0,[],[],[]
324.0,1,[],[],[]
324.0,0,[],[],[]
325.0,1,[],[],[]
325.0,0,[],[],[]
326.0,0,[],[],[]
327.0,1,[],[],[]
328.0,1,"[['child', [122.0, -157.48075755104423, 874.0079553004172]]]","[['child', [122.0, -162.16219175804892, 877.6675523972834]]]","[['child', [122.0, -158.7827935778825, 876.1279255918478]]]"
329.0,1,[],[],[]
330.0,1,[],[],[]
331.0,0,[],[],[]
332.0,0,[],[],[]
333.0,0,[],[],[]
334.0,0,[],[],[]
335.0,0,[],[],[]
336.0,0,[],[],[]
345.0,1,[],[],[]
346.0,1,[],[],[]
347.0,1,[],[],[]
348.0,0,[],[],[]
349.0,0,[],[],[]
350.0,0,[],[],[]
351.0,0,[],[],[]
352.0,0,[],[],[]
353.0,0,[],[],[]
353.0,0,[],[],[]
354.0,0,[],[],[]
355.0,0,[],[],[]
356.0,0,[],[],[]
357.0,0,[],[],[]
358.0,0,[],[],[]
361.0,1,[],[],[]
362.0,0,[],[],[]
363.0,0,[],[],[]
364.0,0,[],[],[]
365.0,0,[],[],[]
366.0,0,[],[],[]
367.0,0,[],[],[]
369.0,0,[],[],[]
370.0,0,[],[],[]
371.0,0,[],[],[]
372.0,0,[],[],[]
373.0,0,[],[],[]
374.0,1,[],[],[]
375.0,0,[],[],[]
376.0,0,[],[],[]
377.0,1,"[['child', [144.67893430002036, -96.27427469087434, 887.5]]]",[],[]
378.0,1,"[['child', [154.17084921315498, -44.02445720785087, 719.4]]]","[['child', [179.02171317692557, -112.55538128135433, 719.4]]]","[['child', [167.11737500056876, -75.09046331817913, 719.4]]]"
379.0,0,[],[],[]
380.0,0,[],[],[]
381.0,0,[],[],[]
382.0,0,[],[],[]
383.0,0,[],[],[]
384.0,0,[],[],[]
393.0,0,[],[],[]
394.0,0,[],[],[]
395.0,0,[],[],[]
396.0,0,[],[],[]
397.0,0,[],[],[]
398.0,0,[],[],[]
401.0,0,[],[],[]
402.0,0,[],[],[]
403.0,0,[],[],[]
404.0,0,[],[],[]
405.0,1,[],[],[]
406.0,1,[],[],[]
407.0,1,[],[],[]
408.0,1,[],[],[]
409.0,1,[],[],[]
409.0,0,[],[],[]
410.0,1,[],[],[]
410.0,0,[],[],[]
411.0,1,[],[],[]
411.0,0,[],[],[]
412.0,1,[],[],[]
412.0,0,[],[],[]
413.0,1,[],[],[]
413.0,0,[],[],[]
414.0,1,[],[],[]
414.0,0,[],[],[]
415.0,1,[],[],[]
416.0,1,[],[],[]
417.0,1,[],[],[]
418.0,1,[],[],[]
419.0,1,[],[],[]
420.0,1,[],[],[]
421.0,1,[],[],[]
422.0,1,[],[],[]
423.0,1,[],[],[]
424.0,1,[],[],[]
425.0,1,[],[],[]
426.0,1,[],[],[]
427.0,1,[],[],[]
428.0,1,[],[],[]
429.0,1,[],[],[]
430.0,1,[],[],[]
431.0,1,[],[],[]
432.0,1,[],[],[]
433.0,1,[],[],[]
433.0,0,[],[],[]
434.0,1,[],[],[]
434.0,0,[],[],[]
435.0,1,[],[],[]
435.0,0,[],[],[]
436.0,0,[],[],[]
436.0,0,[],[],[]
437.0,0,[],[],[]
437.0,0,[],[],[]
438.0,0,[],[],[]
438.0,0,[],[],[]
439.0,0,[],[],[]
440.0,0,[],[],[]
441.0,0,[],[],[]
441.0,0,[],[],[]
442.0,0,[],[],[]
443.0,0,[],[],[]
444.0,0,[],[],[]
445.0,0,[],[],[]
446.0,0,[],[],[]
449.0,1,[],[],[]
449.0,0,[],[],[]
450.0,0,[],[],[]
450.0,0,[],[],[]
451.0,0,[],[],[]
451.0,0,[],[],[]
452.0,1,[],[],[]
452.0,0,[],[],[]
453.0,1,[],[],[]
453.0,0,[],[],[]
454.0,1,[],[],[]
454.0,0,[],[],[]
455.0,0,[],[],[]
456.0,0,[],[],[]
457.0,0,[],[],[]
457.0,0,[],[],[]
458.0,0,[],[],[]
458.0,0,[],[],[]
459.0,0,[],[],[]
459.0,0,[],[],[]
460.0,0,[],[],[]
460.0,0,[],[],[]
461.0,0,[],[],[]
462.0,0,[],[],[]
465.0,1,[],[],[]
466.0,1,[],[],[]
467.0,1,[],[],[]
468.0,0,[],[],[]
469.0,0,[],[],[]
470.0,1,[],[],[]
471.0,1,[],[],[]
472.0,1,[],[],[]
473.0,0,[],[],[]
474.0,0,[],[],[]
475.0,1,[],[],[]
476.0,1,[],[],[]
477.0,1,[],[],[]
478.0,1,[],[],[]
479.0,0,[],[],[]
480.0,1,[],[],[]
481.0,0,[],[],[]
482.0,0,[],[],[]
483.0,0,[],[],[]
484.0,0,[],[],[]
485.0,1,[],[],[]
486.0,1,[],[],[]
487.0,1,[],[],[]
488.0,1,[],[],[]
489.0,1,[],"[['child', [24.110117274642903, -119.3457068711229, 979.9]]]",[]
490.0,1,[],[],[]
491.0,1,[],[],[]
492.0,1,[],[],[]
493.0,1,[],[],[]
494.0,1,[],[],[]
495.0,1,[],[],[]
496.0,1,[],[],[]
497.0,1,[],[],[]
498.0,1,[],[],[]
499.0,1,[],[],[]
500.0,1,[],[],[]
501.0,1,[],[],[]
502.0,1,[],[],[]
503.0,1,[],[],[]
504.0,1,[],[],[]
505.0,1,[],[],[]
506.0,1,[],[],[]
507.0,1,[],[],[]
508.0,1,[],[],[]
509.0,1,[],[],[]
510.0,1,[],[],[]
511.0,1,[],[],[]
512.0,1,[],[],[]
513.0,0,[],[],[]
514.0,1,[],[],[]
515.0,1,[],[],[]
516.0,1,[],[],[]
517.0,1,[],[],[]
518.0,1,[],[],[]
519.0,1,[],[],[]
520.0,1,[],[],[]
521.0,1,[],[],[]
522.0,1,[],[],[]
523.0,1,[],[],[]
524.0,1,[],[],[]
525.0,1,[],[],[]
526.0,1,[],[],[]
527.0,1,[],[],[]
528.0,1,[],[],[]
529.0,1,[],[],[]
530.0,1,[],[],[]
531.0,1,[],[],[]
532.0,1,[],[],[]
533.0,1,[],[],[]
534.0,1,[],[],[]
535.0,1,[],[],[]
536.0,1,[],[],[]
537.0,1,[],[],[]
538.0,1,[],[],[]
539.0,1,[],[],[]
540.0,1,[],[],[]
541.0,1,[],[],[]
542.0,1,[],[],[]
543.0,0,[],[],[]
544.0,0,[],[],[]
545.0,0,[],[],[]
546.0,0,[],[],[]
547.0,0,[],[],[]
548.0,0,[],[],[]
561.0,0,[],[],[]
562.0,0,[],[],[]
563.0,0,[],[],[]
564.0,0,[],[],[]
565.0,0,[],[],[]
566.0,0,[],[],[]
569.0,0,[],[],[]
570.0,0,[],[],[]
571.0,1,[],[],[]
572.0,1,[],[],[]
573.0,1,[],[],[]
574.0,0,[],[],[]
575.0,0,[],[],[]
576.0,0,[],[],[]
577.0,0,[],[],[]
578.0,0,[],[],[]
579.0,0,[],[],[]
585.0,0,[],[],[]
586.0,1,[],[],[]
587.0,0,[],[],[]
588.0,0,[],[],[]
589.0,0,[],[],[]
590.0,0,[],[],[]
591.0,1,[],[],[]
592.0,1,[],[],[]
593.0,1,[],[],[]
593.0,0,[],[],[]
594.0,1,[],[],[]
594.0,0,[],[],[]
595.0,1,[],[],[]
595.0,0,[],[],[]
596.0,1,[],[],[]
596.0,0,[],[],[]
597.0,1,[],[],[]
597.0,0,[],[],[]
598.0,1,[],[],[]
598.0,0,[],[],[]
599.0,1,[],[],[]
600.0,1,[],[],[]
601.0,1,[],[],[]
602.0,1,[],[],[]
603.0,1,[],[],[]
604.0,1,[],[],[]
605.0,1,[],[],[]
606.0,1,[],[],[]
607.0,1,[],[],[]
608.0,1,[],[],[]
609.0,1,[],[],[]
610.0,1,[],[],[]
611.0,1,[],[],[]
612.0,1,[],[],[]
613.0,1,[],[],[]
614.0,1,[],[],[]
615.0,1,[],[],[]
616.0,1,[],[],[]
617.0,1,[],[],[]
618.0,1,[],[],[]
619.0,1,[],[],[]
620.0,1,[],[],[]
621.0,1,[],[],[]
622.0,1,[],[],[]
623.0,1,[],[],[]
624.0,1,[],[],[]
625.0,1,[],[],[]
626.0,1,[],[],[]
627.0,1,[],[],[]
628.0,1,[],[],[]
629.0,1,[],[],[]
630.0,1,[],[],[]
631.0,1,[],[],[]
632.0,1,[],[],[]
633.0,1,[],[],[]
634.0,1,[],[],[]
635.0,1,[],[],[]
636.0,1,[],[],[]
637.0,1,[],[],[]
638.0,1,[],[],[]
639.0,1,[],[],[]
640.0,1,[],[],[]
641.0,1,[],[],[]
642.0,0,[],[],[]
643.0,0,[],[],[]
644.0,0,[],[],[]
645.0,0,[],[],[]
646.0,0,[],[],[]
647.0,0,[],[],[]
649.0,0,[],[],[]
650.0,0,[],[],[]
651.0,0,[],[],[]
652.0,0,[],[],[]
653.0,0,[],[],[]
654.0,0,[],[],[]
657.0,0,[],[],[]
658.0,0,[],[],[]
659.0,0,[],[],[]
660.0,0,[],[],[]
661.0,0,[],[],[]
662.0,0,[],[],[]
665.0,0,[],[],[]
666.0,0,[],[],[]
667.0,0,[],[],[]
668.0,0,[],[],[]
669.0,0,[],[],[]
670.0,0,[],[],[]
673.0,0,[],[],[]
674.0,0,[],[],[]
675.0,1,[],[],[]
676.0,0,[],[],[]
677.0,1,[],[],[]
678.0,0,[],[],[]
679.0,0,[],[],[]
680.0,0,[],[],[]
681.0,0,[],[],[]
682.0,0,[],[],[]
683.0,0,[],[],[]
705.0,0,[],[],[]
706.0,1,[],[],[]
707.0,1,[],[],[]
708.0,1,[],[],[]
709.0,0,[],[],[]
710.0,0,[],[],[]
711.0,0,[],[],[]
712.0,0,[],[],[]
713.0,0,[],[],[]
713.0,0,[],[],[]
714.0,0,[],[],[]
714.0,0,[],[],[]
715.0,0,[],[],[]
716.0,0,[],[],[]
717.0,1,[],[],[]
718.0,0,[],[],[]
719.0,0,[],[],[]
720.0,0,[],[],[]
721.0,0,[],[],[]
722.0,0,[],[],[]
723.0,0,[],[],[]
729.0,0,[],[],[]
730.0,0,[],[],[]
731.0,0,[],[],[]
732.0,0,[],[],[]
733.0,1,[],[],[]
734.0,1,[],[],[]
735.0,1,[],[],[]
736.0,0,[],[],[]
737.0,0,[],[],[]
738.0,0,[],[],[]
739.0,1,[],[],[]
740.0,0,[],[],[]
741.0,0,[],[],[]
742.0,0,[],[],[]
743.0,0,[],[],[]
744.0,1,[],[],[]
745.0,0,[],[],[]
746.0,0,[],[],[]
747.0,0,[],[],[]
748.0,0,[],[],[]
749.0,1,[],[],[]
750.0,1,[],[],[]
751.0,1,[],[],[]
752.0,0,[],[],[]
753.0,0,[],[],[]
754.0,0,[],[],[]
755.0,0,[],[],[]
756.0,0,[],[],[]
757.0,0,[],[],[]
761.0,0,[],[],[]
762.0,1,[],[],[]
763.0,1,[],[],[]
764.0,1,[],[],[]
765.0,1,[],[],[]
766.0,1,[],[],[]
767.0,1,[],[],[]
768.0,1,[],[],[]
769.0,0,[],[],[]
770.0,0,[],[],[]
771.0,1,[],[],[]
772.0,1,[],[],[]
773.0,1,[],[],[]
774.0,0,[],[],[]
775.0,0,[],[],[]
776.0,0,[],[],[]
777.0,0,[],[],[]
778.0,0,[],[],[]
779.0,0,[],[],[]
785.0,0,[],[],[]
786.0,0,[],[],[]
787.0,0,[],[],[]
788.0,0,[],[],[]
789.0,0,[],[],[]
790.0,0,[],[],[]
793.0,0,[],[],[]
794.0,0,[],[],[]
795.0,0,[],[],[]
796.0,0,[],[],[]
797.0,0,[],[],[]
798.0,1,[],[],[]
799.0,0,[],[],[]
800.0,0,[],[],[]
801.0,0,[],[],[]
802.0,1,[],[],[]
803.0,0,[],[],[]
804.0,1,[],[],[]
805.0,1,[],[],[]
806.0,1,[],[],[]
807.0,1,[],[],[]
808.0,1,[],[],[]
809.0,1,[],[],[]
810.0,1,[],[],[]
811.0,1,[],[],[]
812.0,0,[],[],[]
813.0,0,[],[],[]
814.0,0,[],[],[]
815.0,0,[],[],[]
816.0,1,[],[],[]
817.0,0,[],[],[]
818.0,0,[],[],[]
819.0,0,[],[],[]
820.0,1,[],[],[]
821.0,1,[],[],[]
822.0,1,[],[],[]
823.0,1,[],[],[]
824.0,1,[],[],[]
825.0,1,[],[],[]
826.0,1,[],[],[]
827.0,1,[],[],[]
828.0,1,[],[],[]
829.0,1,[],[],[]
830.0,1,[],[],[]
831.0,1,[],[],[]
832.0,1,[],[],[]
833.0,1,[],[],[]
834.0,1,[],[],[]
835.0,1,[],[],[]
836.0,1,[],[],[]
837.0,1,[],[],[]
838.0,1,[],[],[]
839.0,1,[],[],[]
840.0,1,[],[],[]
841.0,1,[],[],[]
842.0,1,[],[],[]
843.0,1,[],[],[]
844.0,1,[],[],[]
845.0,1,[],[],[]
846.0,1,[],[],[]
847.0,1,[],[],[]
848.0,1,[],[],[]
849.0,1,[],[],[]
850.0,1,[],[],[]
851.0,1,[],[],[]
852.0,1,[],[],[]
853.0,1,[],[],[]
854.0,1,[],[],[]
855.0,1,[],[],[]
856.0,1,[],[],[]
857.0,1,[],[],[]
858.0,0,[],[],[]
859.0,1,[],[],[]
860.0,1,[],[],[]
861.0,1,[],[],[]
862.0,1,[],[],[]
863.0,1,[],[],[]
864.0,1,[],[],[]
865.0,1,[],[],[]
866.0,1,[],[],[]
867.0,1,[],[],[]
868.0,1,[],[],[]
869.0,1,[],[],[]
870.0,1,[],[],[]
871.0,1,[],[],[]
872.0,1,[],[],[]
873.0,1,[],[],[]
873.0,1,[],[],[]
874.0,1,[],[],[]
874.0,1,[],[],[]
875.0,1,[],[],[]
875.0,1,[],[],[]
876.0,1,[],[],[]
876.0,1,[],[],[]
877.0,1,[],[],[]
877.0,1,[],[],[]
878.0,1,[],[],[]
878.0,1,[],[],[]
879.0,1,[],[],[]
879.0,1,[],[],[]
880.0,1,[],[],[]
880.0,1,[],[],[]
881.0,1,[],[],[]
881.0,0,[],[],[]
882.0,1,[],[],[]
882.0,0,[],[],[]
883.0,1,[],[],[]
883.0,1,[],[],[]
884.0,1,[],[],[]
884.0,1,[],[],[]
885.0,1,[],[],[]
885.0,1,[],[],[]
886.0,0,[],[],[]
886.0,1,[],[],[]
887.0,0,[],[],[]
887.0,1,[],[],[]
888.0,0,[],[],[]
888.0,1,[],[],[]
889.0,0,[],[],[]
889.0,1,[],[],[]
890.0,0,[],[],[]
890.0,1,[],[],[]
891.0,0,[],[],[]
891.0,0,[],[],[]
892.0,0,[],[],[]
893.0,1,[],[],[]
894.0,0,[],[],[]
895.0,0,[],[],[]
896.0,0,[],[],[]
897.0,0,[],[],[]
897.0,0,[],[],[]
898.0,1,[],[],[]
898.0,0,[],[],[]
899.0,1,[],[],[]
899.0,1,[],[],[]
900.0,1,[],[],[]
900.0,1,[],[],[]
901.0,1,[],[],[]
901.0,1,[],[],[]
902.0,1,[],[],[]
902.0,1,[],[],[]
903.0,1,[],[],[]
903.0,1,[],[],[]
904.0,1,[],[],[]
904.0,1,[],[],[]
905.0,1,[],[],[]
905.0,1,[],[],[]
906.0,1,[],[],[]
906.0,1,[],[],[]
907.0,1,[],[],[]
907.0,1,[],[],[]
908.0,1,[],[],[]
908.0,1,[],[],[]
909.0,1,[],[],[]
909.0,1,[],[],[]
910.0,1,[],[],[]
910.0,1,[],[],[]
911.0,1,[],[],[]
911.0,1,[],[],[]
912.0,1,[],[],[]
912.0,1,[],[],[]
913.0,1,[],[],[]
913.0,1,[],[],[]
914.0,1,[],[],[]
914.0,1,[],[],[]
915.0,1,[],[],[]
915.0,1,[],[],[]
916.0,1,[],[],[]
916.0,1,[],[],[]
917.0,1,[],[],[]
917.0,1,[],[],[]
918.0,1,[],[],[]
918.0,1,[],[],[]
919.0,1,[],[],[]
919.0,1,[],[],[]
920.0,1,[],[],[]
920.0,1,[],[],[]
921.0,1,[],[],[]
921.0,1,[],[],[]
922.0,1,[],[],[]
922.0,1,[],[],[]
923.0,1,[],[],[]
923.0,1,[],[],[]
924.0,1,[],[],[]
924.0,1,[],[],[]
925.0,1,[],[],[]
925.0,1,[],[],[]
926.0,1,[],[],[]
926.0,1,[],[],[]
927.0,1,[],[],[]
927.0,1,[],[],[]
928.0,1,[],[],[]
928.0,1,[],[],[]
929.0,1,[],[],[]
929.0,1,[],[],[]
930.0,1,[],[],[]
930.0,1,[],[],[]
931.0,1,[],[],[]
931.0,1,[],[],[]
932.0,1,[],[],[]
932.0,1,[],[],[]
933.0,1,[],[],[]
933.0,1,[],[],[]
934.0,1,[],[],[]
934.0,1,[],[],[]
935.0,1,[],[],[]
935.0,1,[],[],[]
936.0,1,[],[],[]
936.0,1,[],[],[]
937.0,1,[],[],[]
937.0,1,[],[],[]
937.0,1,[],[],[]
938.0,1,[],[],[]
938.0,1,[],[],[]
938.0,1,[],[],[]
939.0,1,[],[],[]
939.0,1,[],[],[]
939.0,0,[],[],[]
940.0,0,[],[],[]
940.0,1,[],[],[]
940.0,1,[],[],[]
941.0,1,[],[],[]
941.0,1,[],[],[]
941.0,1,[],[],[]
942.0,1,[],[],[]
942.0,1,[],[],[]
942.0,1,[],[],[]
943.0,1,[],[],[]
943.0,1,[],[],[]
943.0,0,[],[],[]
944.0,1,[],[],[]
944.0,1,[],[],[]
944.0,1,[],[],[]
945.0,1,[],[],[]
945.0,1,[],[],[]
945.0,1,[],[],[]
946.0,1,[],[],[]
946.0,1,[],[],[]
946.0,1,[],[],[]
947.0,1,[],[],[]
947.0,1,[],[],[]
947.0,1,[],[],[]
948.0,1,[],[],[]
948.0,1,[],[],[]
948.0,1,[],[],[]
949.0,1,[],[],[]
949.0,1,[],[],[]
949.0,1,[],[],[]
950.0,1,[],[],[]
950.0,1,[],[],[]
950.0,1,[],[],[]
951.0,1,[],[],[]
951.0,1,[],[],[]
951.0,1,[],[],[]
952.0,1,[],[],[]
952.0,1,[],[],[]
952.0,1,[],[],[]
953.0,1,[],[],[]
953.0,1,[],[],[]
953.0,1,[],[],[]
954.0,1,[],[],[]
954.0,1,[],[],[]
954.0,1,[],[],[]
955.0,1,[],[],[]
955.0,1,[],[],[]
955.0,1,[],[],[]
956.0,1,[],[],[]
956.0,1,[],[],[]
956.0,1,[],[],[]
957.0,1,[],[],[]
957.0,1,[],[],[]
957.0,1,[],[],[]
958.0,1,[],[],[]
958.0,1,[],[],[]
958.0,1,[],[],[]
959.0,1,[],[],[]
959.0,1,[],[],[]
959.0,1,[],[],[]
960.0,1,[],[],[]
960.0,1,[],[],[]
960.0,1,[],[],[]
961.0,1,[],[],[]
961.0,1,[],[],[]
961.0,0,[],[],[]
962.0,1,[],[],[]
962.0,1,[],[],[]
